dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
csuite_large_backdoor,20,0.156529148101765,0.0945235321608136,0.2183493367651423,3.2731004999774593e-10,1.9638602999864756e-09,correlation_matrix_difference,True
csuite_large_backdoor,50,0.1637624067703505,0.1175842380844897,0.2062836028585109,2.256776902419375e-12,1.3540661414516249e-11,correlation_matrix_difference,True
csuite_large_backdoor,100,0.0966152630580583,0.057409256305051,0.1338855127431664,1.3192638441071741e-08,7.915583064643044e-08,correlation_matrix_difference,True
csuite_large_backdoor,200,0.0561276468604557,0.0250268112211858,0.0866198855085053,6.555148111526927e-06,3.9330888669161565e-05,correlation_matrix_difference,True
csuite_large_backdoor,500,0.0115426094255357,-0.0224030387671513,0.0442450742206168,0.313728575022711,1.0,correlation_matrix_difference,False
csuite_mixed_confounding,20,0.1286538191021702,0.0963209386319973,0.1611236375575839,2.6894574734275337e-14,1.3447287367137666e-13,correlation_matrix_difference,True
csuite_mixed_confounding,50,0.1819889627006118,0.1526931067543203,0.2086841342142351,5.1128317409364995e-18,3.0676990445618995e-17,correlation_matrix_difference,True
csuite_mixed_confounding,100,0.1580714464494546,0.1296707435790509,0.1880569867120632,3.536288390303153e-17,2.1217730341818915e-16,correlation_matrix_difference,True
csuite_mixed_confounding,200,0.0766154821824591,0.0544222215247917,0.1010250900747156,5.300777684835877e-12,2.1203110739343503e-11,correlation_matrix_difference,True
csuite_mixed_confounding,500,0.0551306377535811,0.0355965592717707,0.0752566678473517,2.6806833296131677e-10,1.072273331845267e-09,correlation_matrix_difference,True
csuite_mixed_simpson,20,0.0475607551341286,0.0075759956192139,0.0903914384350843,0.001470462686034,0.0088227761162042,correlation_matrix_difference,True
csuite_mixed_simpson,50,0.047064787356944,0.0225972820706869,0.0700685691018429,1.671253383468105e-06,1.0027520300808628e-05,correlation_matrix_difference,True
csuite_mixed_simpson,100,0.0427565353417039,0.0239660866590989,0.0620012275083138,1.1246611482457753e-07,6.74796688947465e-07,correlation_matrix_difference,True
csuite_mixed_simpson,200,0.0080919295599348,-0.0095876516421136,0.0264027342818485,0.2451729983495421,0.998344996896311,correlation_matrix_difference,False
csuite_mixed_simpson,500,0.0115389188341543,-0.0067719332299914,0.0289052848553102,0.0960826121422698,0.3843304485690795,correlation_matrix_difference,False
csuite_nonlin_simpson,20,0.0282844608255064,-0.0018908801244829,0.0624047665727586,0.0142252062020288,0.0853512372121731,correlation_matrix_difference,False
csuite_nonlin_simpson,50,0.0293851880810478,0.0103708724657479,0.0490644567241486,0.0001491548908845,0.0007457744544225,correlation_matrix_difference,True
csuite_nonlin_simpson,100,0.0363885836898636,0.0194841880054971,0.0532222896721851,1.331981564680161e-07,7.991889388080965e-07,correlation_matrix_difference,True
